original,normalized
Tôi bik nó thích ai rồi nè,Tôi biết nó thích ai rồi nè
Mày bít sao nó giận không,Mày biết sao nó giận không
Tôi pik chắc luôn,Tôi biết chắc luôn
Tao biet chuyện này từ lâu rồi,Tao biết chuyện này từ lâu rồi
Tôi kbt luôn á hỏi chi vậy,Tôi không biết luôn á hỏi chi vậy
Nó kbt gì đâu mà nói dữ,Nó không biết gì đâu mà nói dữ
Tao kbt chuyện đó nha,Tao không biết chuyện đó nha
Tôi kbt ai làm đâu,Tôi không biết ai làm đâu
Nó kbt đường về luôn á,Nó không biết đường về luôn á
tôi hông muốn gặp mặt bạn nữa đâu,tôi không muốn gặp mặt bạn nữa đâu
tao hoq ngờ chuyện này lại xảy ra,tao không ngờ chuyện này lại xảy ra
tôi khum thể tin nổi vào mắt mình,tôi không thể tin nổi vào mắt mình
anh ấy hông chịu ăn cơm đâu ba mẹ,anh ấy không chịu ăn cơm đâu ba mẹ
tao hoq có thời gian rảnh rỗi đâu nha,tao không có thời gian rảnh rỗi đâu nha
chuyện này khum liên quan đến tôi mà,chuyện này không liên quan đến tôi mà
tôi kg đồng ý với ý kiến của bạn,tôi không đồng ý với ý kiến của bạn
hôm qua tôi có đi chơi đâu mà nói,hôm qua tôi không đi chơi đâu mà nói
nó 0 chịu làm bài tập về nhà đâu,nó không chịu làm bài tập về nhà đâu
tôi 0 muốn nghe những lời đó nữa,tôi không muốn nghe những lời đó nữa
tôi hok thích cái thái độ đó đâu nha,tôi không thích cái thái độ đó đâu nha
em phải làm cho xong việc này đã,em phải làm cho xong việc này đã
bạn phải trả lời tin nhắn của tôi chứ,bạn phải trả lời tin nhắn của tôi chứ
tao phải chấp nhận sự thật thôi,tao phải chấp nhận sự thật thôi
cô ấy phải đi công tác xa rồi,cô ấy phải đi công tác xa rồi
chúng tôi bik cách giải quyết vấn đề,chúng tôi biết cách giải quyết vấn đề
bạn bít địa điểm họp mặt ở đâu không,bạn biết địa điểm họp mặt ở đâu không
nó pik hết mọi bí mật của chúng ta,nó biết hết mọi bí mật của chúng ta
tôi biet rõ điều đó hơn ai hết,tôi biết rõ điều đó hơn ai hết
chị bik làm món bánh này rồi,chị biết làm món bánh này rồi
mày pik nó đang ở đâu không đó,mày biết nó đang ở đâu không đó
bạn tôi bik lái xe hơi rồi nha,bạn tôi biết lái xe hơi rồi nha
tôi biet rằng mọi chuyện sẽ ổn thôi,tôi biết rằng mọi chuyện sẽ ổn thôi
nó kbt tại sao mình lại bị phạt,nó không biết tại sao mình lại bị phạt
chúng ta kbt nên làm gì tiếp theo,chúng ta không biết nên làm gì tiếp theo
mày kbt tên thật của nó là gì à,mày không biết tên thật của nó là gì à
em kbt làm bài tập toán này rồi,em không biết làm bài tập toán này rồi
tôi kbt số điện thoại của anh ấy,tôi không biết số điện thoại của anh ấy
ai kbt sự thật đằng sau chuyện này,ai không biết sự thật đằng sau chuyện này
mày hok dám làm chuyện đó đâu mà,mày không dám làm chuyện đó đâu mà
cậu ấy hoq thích ăn rau đâu nha,cậu ấy không thích ăn rau đâu nha
chúng ta khum nên nói về việc này,chúng ta không nên nói về việc này
tôi kg muốn làm phiền bạn đâu,tôi không muốn làm phiền bạn đâu
tôi 0 thể ngủ được tối qua,tôi không thể ngủ được tối qua
mày bik cách mở khóa cái này không,mày biết cách mở khóa cái này không
tôi pik lịch trình của chuyến đi rồi,tôi biết lịch trình của chuyến đi rồi
tao biet cách sửa cái máy này mà,tao biết cách sửa cái máy này mà
nó kbt mình đã sai ở đâu,nó không biết mình đã sai ở đâu
tôi kbt bơi nên ko đi biển đâu,tôi không biết bơi nên không đi biển đâu
cô ấy pik chuyện gì đang xảy ra,cô ấy biết chuyện gì đang xảy ra
mày phải ăn hết phần cơm này,mày phải ăn hết phần cơm này
chúng ta phải giữ bí mật tuyệt đối,chúng ta phải giữ bí mật tuyệt đối
tôi phải đi gặp khách hàng ngay,tôi phải đi gặp khách hàng ngay
nó phải chịu trách nhiệm về lời nói,nó phải chịu trách nhiệm về lời nói
tôi phải cố gắng học hành chăm chỉ,tôi phải cố gắng học hành chăm chỉ
bạn bik mật khẩu wifi không,bạn biết mật khẩu wifi không
tôi pik địa chỉ nhà bạn rồi,tôi biết địa chỉ nhà bạn rồi
tao biet mày đang nghĩ gì,tao biết mày đang nghĩ gì
chúng tôi kbt cách làm món này,chúng tôi không biết cách làm món này
anh ấy kbt nói tiếng nhật,anh ấy không biết nói tiếng nhật
Tao kbt phải làm sao nữa,Tao không biết phải làm sao nữa
Tôi kbt chuyện gì đang xảy ra,Tôi không biết chuyện gì đang xảy ra
Nó kbt gì hết trơn á,Nó không biết gì hết trơn á
Kbt khi nào mới dx về quê nữa,Không biết khi nào mới được về quê nữa
Kbt chừng nào t mới dx nghỉ làm,Không biết chừng nào tao mới được nghỉ làm
Cái điện thoại đó mười tr lận á,Cái điện thoại đó mười triệu lận á
Nó trúng thưởng năm trieu luôn,Nó trúng thưởng năm triệu luôn
Tôi nghe nói giá gần hai tr đó,Tôi nghe nói giá gần hai triệu đó
Tao mua đôi giày bốn tr nè,Tao mua đôi giày bốn triệu nè
Cái máy đó tới ba trieu lận,Cái máy đó tới ba triệu lận
Chiếc xe kia hơn mười tr luôn á,Chiếc xe kia hơn mười triệu luôn á
Tôi chỉ có một tr thôi huhu,Tôi chỉ có một triệu thôi huhu
Nó tiêu mất năm tr rồi đó,Nó tiêu mất năm triệu rồi đó
Tết nào tao cũng được lì xì 5tr,Tết nào tao cũng được lì xì 5 triệu
Có 2tr thôi mà làm lớn chuyện vậy,Có 2 triệu thôi mà làm lớn chuyện vậy
Dạo này kinh tế khó khăn làm cho lương trung bình của nhân viên giảm xuống chỉ còn 6tr,Dạo này kinh tế khó khăn làm cho lương trung bình của nhân viên giảm xuống chỉ còn 6 triệu
tôi vừa mua chiếc xe máy cũ giá 15tr,tôi vừa mua chiếc xe máy cũ giá 15 triệu
chiếc điện thoại mới của nó có giá gần 30tr,chiếc điện thoại mới của nó có giá gần 30 triệu
mỗi tháng tiền nhà của tôi hết 4tr rồi,mỗi tháng tiền nhà của tôi hết 4 triệu rồi
họ tiết kiệm được hơn 100tr sau một năm,họ tiết kiệm được hơn 100 triệu sau một năm
bữa tiệc sinh nhật này tiêu tốn hết 8tr,bữa tiệc sinh nhật này tiêu tốn hết 8 triệu
tôi chỉ còn 5tr trong tài khoản thôi,tôi chỉ còn 5 triệu trong tài khoản thôi
nó vừa trúng thưởng được 50tr tiền mặt,nó vừa trúng thưởng được 50 triệu tiền mặt
giá thuê căn hộ này là 7tr một tháng,giá thuê căn hộ này là 7 triệu một tháng
tôi phải trả góp 2tr mỗi tháng trong hai năm,tôi phải trả góp 2 triệu mỗi tháng trong hai năm
chi phí đi du lịch thái lan là khoảng 12tr,chi phí đi du lịch thái lan là khoảng 12 triệu
công ty thưởng tết cho tôi 10tr lận đó,công ty thưởng tết cho tôi 10 triệu lận đó
khoản vay ngân hàng của tôi là 500tr,khoản vay ngân hàng của tôi là 500 triệu
tổng thiệt hại sau vụ tai nạn là 20tr,tổng thiệt hại sau vụ tai nạn là 20 triệu
tôi cần bán gấp chiếc tivi 3tr,tôi cần bán gấp chiếc tivi 3 triệu
chiếc nhẫn kim cương này có giá 45tr,chiếc nhẫn kim cương này có giá 45 triệu
lương tháng đầu tiên của tôi là 6tr,lương tháng đầu tiên của tôi là 6 triệu
món quà cưới của họ trị giá 200tr,món quà cưới của họ trị giá 200 triệu
tiền học phí một học kỳ là 18tr,tiền học phí một học kỳ là 18 triệu
anh ấy đã mua một chiếc đồng hồ 15tr,anh ấy đã mua một chiếc đồng hồ 15 triệu
tôi đã đầu tư 5tr vào cổ phiếu đó,tôi đã đầu tư 5 triệu vào cổ phiếu đó
doanh thu quý này đạt 300tr,doanh thu quý này đạt 300 triệu
tôi phải chi 1tr đồng cho tiền điện,tôi phải chi 1 triệu đồng cho tiền điện
năm ngoái tôi làm được 150tr,năm ngoái tôi làm được 150 triệu
chiếc máy tính xách tay giá 25tr,chiếc máy tính xách tay giá 25 triệu
tôi vừa nhận được khoản bồi thường 5tr,tôi vừa nhận được khoản bồi thường 5 triệu
giá vé máy bay khứ hồi là 3tr,giá vé máy bay khứ hồi là 3 triệu
mỗi lần đi chợ tôi tiêu hết 1tr,mỗi lần đi chợ tôi tiêu hết 1 triệu
căn nhà này có giá hơn 2 tỉ tức 2000tr,căn nhà này có giá hơn 2 tỉ tức 2000 triệu
chi phí sửa chữa nhà cửa lên tới 50tr,chi phí sửa chữa nhà cửa lên tới 50 triệu
tôi được lì xì 2tr trong tết vừa rồi,tôi được lì xì 2 triệu trong tết vừa rồi
anh ấy nợ tôi tổng cộng 10tr,anh ấy nợ tôi tổng cộng 10 triệu
tiền bảo hiểm y tế hàng năm là 1tr,tiền bảo hiểm y tế hàng năm là 1 triệu
tôi đang gom góp để mua xe 50tr,tôi đang gom góp để mua xe 50 triệu
món hàng này đang được giảm giá còn 4tr,món hàng này đang được giảm giá còn 4 triệu
chúng tôi dự định mua đất giá 800tr,chúng tôi dự định mua đất giá 800 triệu
lợi nhuận tháng này chỉ đạt 15tr thôi,lợi nhuận tháng này chỉ đạt 15 triệu thôi
tôi vừa thanh toán hóa đơn điện thoại 1tr,tôi vừa thanh toán hóa đơn điện thoại 1 triệu
chiếc túi xách đó có giá 7tr lận,chiếc túi xách đó có giá 7 triệu lận
anh ta đã mất 9tr vì đầu tư sai lầm,anh ta đã mất 9 triệu vì đầu tư sai lầm
phòng tập gym tính phí 1tr mỗi tháng,phòng tập gym tính phí 1 triệu mỗi tháng
tôi phải trả nợ thẻ tín dụng 3tr,tôi phải trả nợ thẻ tín dụng 3 triệu
chúng tôi cần ít nhất 6tr để tổ chức tiệc,chúng tôi cần ít nhất 6 triệu để tổ chức tiệc
cổ phiếu công ty tăng 5tr hôm nay,cổ phiếu công ty tăng 5 triệu hôm nay
ngân sách cho dự án này là 50tr,ngân sách cho dự án này là 50 triệu
tôi đã đóng 2tr tiền cọc thuê nhà,tôi đã đóng 2 triệu tiền cọc thuê nhà
nó mua chiếc xe đạp điện 8tr,nó mua chiếc xe đạp điện 8 triệu
tôi muốn kiếm thêm 10tr mỗi tháng,tôi muốn kiếm thêm 10 triệu mỗi tháng
tôi nhận được học bổng trị giá 5tr,tôi nhận được học bổng trị giá 5 triệu
chi phí khám chữa bệnh hết 4tr,chi phí khám chữa bệnh hết 4 triệu
tôi ước mình có 100tr để làm vốn,tôi ước mình có 100 triệu để làm vốn
tôi muốn mua chiếc áo khoác giá hai tr,tôi muốn mua chiếc áo khoác giá hai triệu
mỗi tháng tôi gửi về cho gia đình mười tr,mỗi tháng tôi gửi về cho gia đình mười triệu
công việc này được trả 15 tr một tháng,công việc này được trả 15 triệu một tháng
chiếc xe đó chỉ còn ba tr thôi,chiếc xe đó chỉ còn ba triệu thôi
họ vừa được thưởng 50 tr,họ vừa được thưởng 50 triệu
bữa ăn hôm nay hết một tr,bữa ăn hôm nay hết một triệu
tiền học thêm của con hết bảy tr,tiền học thêm của con hết bảy triệu
căn phòng này cần 20 tr để sửa chữa,căn phòng này cần 20 triệu để sửa chữa
chúng tôi cần ít nhất 8 tr để mở quán,chúng tôi cần ít nhất 8 triệu để mở quán
anh ta đã vay tôi sáu tr từ lâu rồi,anh ta đã vay tôi sáu triệu từ lâu rồi
tổng số tiền quyên góp là 45 tr,tổng số tiền quyên góp là 45 triệu
dự án này tiêu tốn hơn ba trăm tr,dự án này tiêu tốn hơn ba trăm triệu
tôi cần thêm 2 tr nữa mới đủ,tôi cần thêm 2 triệu nữa mới đủ
chiếc máy ảnh cũ đó bán được bốn tr,chiếc máy ảnh cũ đó bán được bốn triệu
chi phí sinh hoạt hàng tháng là 9 tr,chi phí sinh hoạt hàng tháng là 9 triệu
tiền điện thoại di động là 1 tr,tiền điện thoại di động là 1 triệu
anh ấy đã đặt cọc 5 tr mua nhà,anh ấy đã đặt cọc 5 triệu mua nhà
tiền bồi thường bảo hiểm là 12 tr,tiền bồi thường bảo hiểm là 12 triệu
tôi có thể trả góp ba tr mỗi đợt,tôi có thể trả góp ba triệu mỗi đợt
họ vừa gửi cho tôi tám tr để kinh doanh,họ vừa gửi cho tôi tám triệu để kinh doanh
Nhà tôi ở q7 nè,Nhà tôi ở quận 7 nè
Tao sống bên q1,Tao sống bên quận 1
Công ty nằm ở q3 luôn á,Công ty nằm ở quận 3 luôn á
Tôi đang ở quan Bình Thạnh,Tôi đang ở quận Bình Thạnh
Bạn Tôi ở q10 đó,Bạn tôi ở quận 10 đó
Nhà nó bên quan Gò Vấp,Nhà nó bên quận Gò Vấp
Tao học ở trường trong q5,Tao học ở trường trong quận 5
Tôi ở q9 xa trung tâm ghê,Tôi ở quận 9 xa trung tâm ghê
Nghe nói đồ ăn ở q5 ngon lắm,Nghe nói đồ ăn ở quận 5 ngon lắm
Q1 là khu ăn chơi nhất ở Việt Nam,Quận 1 là khu ăn chơi nhất ở Việt Nam
nhà hàng mới mở ở q4 đông khách lắm,nhà hàng mới mở ở quận 4 đông khách lắm
tôi vừa chuyển đến sống ở q12 rồi,tôi vừa chuyển đến sống ở quận 12 rồi
em đi khám bệnh ở quan 6 hồi sáng,em đi khám bệnh ở quận 6 hồi sáng
bạn có biết đường đi đến q8 không,bạn có biết đường đi đến quận 8 không
chúng tôi sắp mở chi nhánh ở q11,chúng tôi sắp mở chi nhánh ở quận 11
trung tâm thương mại đó nằm ở quan tân bình,trung tâm thương mại đó nằm ở quận tân bình
khu công nghiệp ở q bình tân rất rộng,khu công nghiệp ở quận bình tân rất rộng
chợ lớn nhất thành phố nằm ở q1,chợ lớn nhất thành phố nằm ở quận 1
họ đang xây một cây cầu mới qua q2,họ đang xây một cây cầu mới qua quận 2
tiệm cà phê yêu thích của tôi ở q3,tiệm cà phê yêu thích của tôi ở quận 3
tôi học đại học ở trường thuộc q5,tôi học đại học ở trường thuộc quận 5
tôi muốn thuê một căn hộ ở q tân phú,tôi muốn thuê một căn hộ ở quận tân phú
công viên lớn nhất ở quan thủ đức,công viên lớn nhất ở quận thủ đức
bãi biển gần nhất cách q7 bao xa,bãi biển gần nhất cách quận 7 bao xa
mày có biết quán ăn ngon ở q10 không,mày có biết quán ăn ngon ở quận 10 không
bến xe miền tây nằm ở quan 6,bến xe miền tây nằm ở quận 6
siêu thị tiện lợi ở q12 vừa khai trương,siêu thị tiện lợi ở quận 12 vừa khai trương
nhà bạn tôi ở tận q9 lận,nhà bạn tôi ở tận quận 9 lận
tôi thấy tắc đường kinh khủng ở q4,tôi thấy tắc đường kinh khủng ở quận 4
cô ấy đang tìm việc làm ở quan gò vấp,cô ấy đang tìm việc làm ở quận gò vấp
trạm tàu điện ngầm mới ở q1,trạm tàu điện ngầm mới ở quận 1
mọi người đổ về q thủ đức rất đông,mọi người đổ về quận thủ đức rất đông
tao có căn nhà nhỏ ở q8,tao có căn nhà nhỏ ở quận 8
cầu sài gòn nối q2 với q bình thạnh,cầu sài gòn nối quận 2 với quận bình thạnh
tiệm sửa xe quen thuộc của tôi ở q11,tiệm sửa xe quen thuộc của tôi ở quận 11
bệnh viện lớn nhất thành phố nằm ở q5,bệnh viện lớn nhất thành phố nằm ở quận 5
tôi phải đi công tác ở q bình tân,tôi phải đi công tác ở quận bình tân
mày đang ở quan nào đó,mày đang ở quận nào đó
cái rạp chiếu phim đó ở q tân phú đúng không,cái rạp chiếu phim đó ở quận tân phú đúng không
tao vừa ghé thăm chợ ở q bình thạnh,tao vừa ghé thăm chợ ở quận bình thạnh
Các quán ăn nổi tiếng thường tập trung ở q5,Các quán ăn nổi tiếng thường tập trung ở quận 5
Tôi dx nghỉ học hôm nay không,Tôi được nghỉ học hôm nay không
Nó dc cô giáo khen luôn á,Nó được cô giáo khen luôn á
Tôi duoc chọn vô đội nè,Tôi được chọn vô đội nè
Mày làm dx bài tập môn hóa chưa,Mày làm được bài tập môn hóa chưa
Tao dc điểm cao nhất lớp luôn,Tao được điểm cao nhất lớp luôn
Nó duoc mời tham gia chương trình,Nó được mời tham gia chương trình
Tôi dc vô vòng trong rồi đó,Tôi được vô vòng trong rồi đó
Mày dc ai giúp chưa,Mày được ai giúp chưa
Có nhiêu đó mà không làm dx nữa hả,Có nhiêu đó mà không làm được nữa hả
Có vậy thôi mà cũng không làm dx,Có vậy thôi mà cũng không làm được
Tôi cok làm gì đâu,Tôi có làm gì đâu
Tao co thấy nó đi ngang qua nè,Tao có thấy nó đi ngang qua nè
Mày cok nghe tiếng gì hông,Mày có nghe tiếng gì không
Tôi co nói chuyện với nó mà,Tôi có nói chuyện với nó mà
Nó cok muốn ra ngoài đâu,Nó có muốn ra ngoài đâu
Tao co gặp nó hôm qua,Tao có gặp nó hôm qua
Tôi cok tin chuyện đó luôn,Tôi có tin chuyện đó luôn
Mày co đem bài theo hông,Mày có đem bài theo không
Mày cóa nghe nó kể chuyện về công ty cũ chưa,Mày có nghe nó kể chuyện về công ty cũ chưa
cóa vậy thôi đó,có vậy thôi đó
tôi không cóa biết sự việc lại như vậy,tôi không có biết sự việc lại như vậy
tôi không cóa nói sạo đâu,tôi không có nói sạo đâu
tôi cok muốn đi xem phim với bạn không,tôi có muốn đi xem phim với bạn không
nó cok thể làm được bài tập này mà,nó có thể làm được bài tập này mà
mày cok rảnh vào tối mai không,mày có rảnh vào tối mai không
chúng ta cok nên gọi cho cô ấy không,chúng ta có nên gọi cho cô ấy không
tôi không cok ý định làm tổn thương ai,tôi không có ý định làm tổn thương ai
cậu ấy cok biết tin tức này chưa,cậu ấy có biết tin tức này chưa
bạn cóa đồng ý với kế hoạch này không,bạn có đồng ý với kế hoạch này không
thật sự tôi không cóa thời gian đâu,thật sự tôi không có thời gian đâu
anh ấy cok mua quà cho em chưa,anh ấy có mua quà cho em chưa
tao cok thấy mày ở siêu thị hôm qua,tao có thấy mày ở siêu thị hôm qua
chuyện này cok liên quan đến bạn không,chuyện này có liên quan đến bạn không
cô ấy cóa vẻ không hài lòng lắm,cô ấy có vẻ không hài lòng lắm
chúng ta cok cần phải đi sớm không,chúng ta có cần phải đi sớm không
tôi cok chìa khóa nhà trong túi đây,tôi có chìa khóa nhà trong túi đây
mày cok thể giúp tao một tay không,mày có thể giúp tao một tay không
tôi không cok tiền mặt trong ví,tôi không có tiền mặt trong ví
nó cok bao giờ kể về gia đình nó không,nó có bao giờ kể về gia đình nó không
bạn cok muốn uống thêm nước không,bạn có muốn uống thêm nước không
cái áo đó cóa màu xanh dương đẹp lắm,cái áo đó có màu xanh dương đẹp lắm
em cok muốn ăn thử món này không,em có muốn ăn thử món này không
chắc chắn cok chuyện gì đó đã xảy ra,chắc chắn có chuyện gì đó đã xảy ra
tôi không cok câu trả lời cho bạn,tôi không có câu trả lời cho bạn
chúng ta cok nên chờ thêm một chút không,chúng ta có nên chờ thêm một chút không
cậu ấy cóa vẻ rất mệt mỏi hôm nay,cậu ấy có vẻ rất mệt mỏi hôm nay
mày cok tin vào duyên số không,mày có tin vào duyên số không
tôi cok gặp anh ấy ở công ty rồi,tôi có gặp anh ấy ở công ty rồi
chuyện này không cok gì phải lo lắng,chuyện này không có gì phải lo lắng
cậu cóa thích đi du lịch không,cậu có thích đi du lịch không
nó cok biết bơi không vậy,nó có biết bơi không vậy
tôi cok mang theo máy ảnh rồi,tôi có mang theo máy ảnh rồi
cóa nhiêu đó mà cũng làm sai nữa hả,có nhiêu đó mà cũng làm sai nữa hả
mỗi ngày đi học tôi chỉ cóa 10 ngàn,mỗi ngày đi học tôi chỉ có 10 ngàn
nhà tôi cóa nuôi 4 con mèo,nhà tôi có nuôi 4 con mèo
vk tôi nấu ăn ngon cực,vợ tôi nấu ăn ngon cực
dợ anh Hai hiền ghê luôn,vợ anh Hai hiền ghê luôn
zk tao dễ thương lắm,vợ tao dễ thương lắm
vk Tôi hay cà khịa Tôi hoài,vợ tôi hay cà khịa tôi hoài
dợ nhỏ đó hiền mà lanh lắm,vợ nhỏ đó hiền mà lanh lắm
zk nó học giỏi dữ luôn,vợ nó học giỏi dữ luôn
dợ tôi đang làm bánh trong bếp kìa,vợ tôi đang làm bánh trong bếp kìa
anh ấy giới thiệu zk mình với mọi người,anh ấy giới thiệu vợ mình với mọi người
vk bạn có thích đi du lịch không,vợ bạn có thích đi du lịch không
dợ anh ba nấu ăn ngon lắm luôn,vợ anh ba nấu ăn ngon lắm luôn
zk thằng nam làm bác sĩ đó,vợ thằng nam làm bác sĩ đó
vk nó mới mua chiếc xe hơi mới,vợ nó mới mua chiếc xe hơi mới
tôi thấy dợ anh ấy rất xinh đẹp,tôi thấy vợ anh ấy rất xinh đẹp
zk mày có hay ghen không vậy,vợ mày có hay ghen không vậy
vk tôi bảo phải về nhà sớm,vợ tôi bảo phải về nhà sớm
dợ chú bảy là giáo viên tiểu học,vợ chú bảy là giáo viên tiểu học
chúng tôi đi ăn cùng zk sếp,chúng tôi đi ăn cùng vợ sếp
vk nó đang đi công tác nước ngoài,vợ nó đang đi công tác nước ngoài
dợ tôi thích đọc sách vào buổi tối,vợ tôi thích đọc sách vào buổi tối
zk cậu ấy rất giỏi tiếng anh,vợ cậu ấy rất giỏi tiếng anh
vk bạn có biết lái xe không,vợ bạn có biết lái xe không
dợ anh tư vừa sinh em bé,vợ anh tư vừa sinh em bé
tôi chưa từng gặp zk của anh ấy,tôi chưa từng gặp vợ của anh ấy
vk tôi đang học thêm một khóa mới,vợ tôi đang học thêm một khóa mới
dợ bạn có hay tập thể dục không,vợ bạn có hay tập thể dục không
zk tôi là người rất chu đáo,vợ tôi là người rất chu đáo
vk anh ấy làm ở bộ phận kế toán,vợ anh ấy làm ở bộ phận kế toán
dợ anh cả là một kiến trúc sư,vợ anh cả là một kiến trúc sư
zk nó vừa mở một cửa hàng hoa,vợ nó vừa mở một cửa hàng hoa
vk bạn có thích thú cưng không,vợ bạn có thích thú cưng không
dợ tôi bảo tôi nên nghỉ ngơi đi,vợ tôi bảo tôi nên nghỉ ngơi đi
zk tao vừa đi siêu thị về đó,vợ tao vừa đi siêu thị về đó
vk nó rất thích xem phim hành động,vợ nó rất thích xem phim hành động
dợ anh hai là người rất hoạt bát,vợ anh hai là người rất hoạt bát
tôi nhờ zk giúp tôi việc này,tôi nhờ vợ giúp tôi việc này
vk bạn đã về nhà chưa,vợ bạn đã về nhà chưa
ck Tôi chiều vk dữ lắm,chồng tôi chiều vợ dữ lắm
chồq tôi đang làm việc,chồng tôi đang làm việc
chong nhỏ đó đẹp trai ghê,chồng nhỏ đó đẹp trai ghê
ck nó tốt với mọi người lắm,chồng nó tốt với mọi người lắm
tôi nhớ ck tôi quá,tôi nhớ chồng tôi quá
chồq tôi mới về nè,chồng tôi mới về nè
ck nhỏ đó vui tính cực,chồng nhỏ đó vui tính cực
chong Tôi đi công tác rồi,chồng tôi đi công tác rồi
vc tôi hòa thuận lắm, vợ chồng thôi hòa thuận lắm
vc tôi mới mua một căn nhà nhỏ ở ngoại ô,vợ chồng tôi mới mua một căn nhà nhỏ ở ngoại ô
Cuộc sống vc cần có sự tin tưởng lẫn nhau,Cuộc sống vợ chồng cần có sự tin tưởng lẫn nhau
Họ là vc trẻ vừa kết hôn năm ngoái,Họ là vợ chồng trẻ vừa kết hôn năm ngoái
vc anh ấy rất yêu thương nhau,vợ chồng anh ấy rất yêu thương nhau
vc tôi cùng nhau đi làm mỗi sáng,vợ chồng tôi cùng nhau đi làm mỗi sáng
Tình cảm vc không thể đo bằng tiền bạc,Tình cảm vợ chồng không thể đo bằng tiền bạc
Vc cô ấy luôn giúp đỡ hàng xóm,Vợ chồng cô ấy luôn giúp đỡ hàng xóm
ck tôi vừa nhận được giấy khen của công ty,chồng tôi vừa nhận được giấy khen của công ty
chồq tôi đang sửa lại cái kệ sách bị hỏng,chồng tôi đang sửa lại cái kệ sách bị hỏng
vc tôi thường đi bộ trong công viên mỗi tối,vợ chồng tôi thường đi bộ trong công viên mỗi tối
chong bạn có thích chơi thể thao không,chồng bạn có thích chơi thể thao không
vc họ đã kết hôn được mười năm rồi,vợ chồng họ đã kết hôn được mười năm rồi
ck nó rất giỏi trong việc nấu ăn,chồng nó rất giỏi trong việc nấu ăn
chồq tôi đang học thêm tiếng nhật vào buổi tối,chồng tôi đang học thêm tiếng nhật vào buổi tối
vc chúng tôi vừa đi xem phim cuối tuần rồi,vợ chồng chúng tôi vừa đi xem phim cuối tuần rồi
chong tôi là người rất kiên nhẫn,chồng tôi là người rất kiên nhẫn
vc họ quyết định nhận nuôi một chú chó,vợ chồng họ quyết định nhận nuôi một chú chó
ck tôi luôn ủng hộ mọi quyết định của tôi,chồng tôi luôn ủng hộ mọi quyết định của tôi
chồq tôi vừa đi siêu thị mua đồ ăn về,chồng tôi vừa đi siêu thị mua đồ ăn về
